startdate_extracted,startdate_standard,year,month,season,mean_ci,median_ci,std_ci,min_ci,max_ci,perc_ci,mean_dn,median_dn,std_dn,min_dn,max_dn,perc_dn
2009305,2009-11-01,2009,11,4,0.005494543982573307,0.0049988188634573615,0.0032680259864897965,7.047829676137728e-05,0.015105718944621501,[0.00316031 0.00499882 0.00729228 0.01060968 0.01184992 0.0135608 ],153.7581344902386,161.0,35.72422487529572,3,202,[144.  161.  175.  188.9 193.  198. ]
2009312,2009-11-08,2009,11,4,0.0023414901306363675,0.0022864483748491924,0.0014582619073876522,6.677707623479695e-05,0.0067254508006298515,[0.00119681 0.00228645 0.00324671 0.00436815 0.00486579 0.00590265],120.48025477707006,132.0,37.34974899853492,1,172,[108.   132.   145.   156.   160.   167.16]
2009319,2009-11-15,2009,11,4,0.0002594826042822668,0.0002714909767550741,0.0001255386397356001,0.00010007771940692956,0.00040687911668479677,[0.00018578 0.00027149 0.00033919 0.0003798  0.00039334 0.00040417],45.666666666666664,53.0,21.853044537445015,16,68,[34.5 53.  60.5 65.  66.5 67.7]
2009326,2009-11-22,2009,11,4,0.002598125675291658,0.0020821775191515552,0.002189872634419402,0.00035554567493746266,0.0072922810778448905,[0.00170714 0.00208218 0.00216637 0.00472933 0.0060108  0.00703599],124.0,128.5,32.73122871713394,63,175,[121.   128.5  130.   152.5  163.75 172.75]
2009333,2009-11-29,2009,11,4,0.0004843325274611255,0.00031068865857931445,0.00040625189777127165,7.047829676137728e-05,0.001263145560429136,[0.00013106 0.00031069 0.00082041 0.00122953 0.00122953 0.00125642],59.333333333333336,58.0,35.196500547549476,3,110,[ 26.   58.   94.  109.  109.  109.8]
2009340,2009-12-06,2009,12,1,0.00041909704916559694,0.0001693557292449742,0.0007514325179775311,6.860273023526938e-05,0.004865790431142645,"[8.57060843e-05 1.69355729e-04 2.86538775e-04 1.27014674e-03
 1.86364042e-03 3.41389300e-03]",41.957142857142856,35.5,38.30607401082038,2,160,[ 10.25  35.5   55.   110.2  124.3  145.51]
2009347,2009-12-13,2009,12,1,0.0001971012973489469,0.0001258768577870008,0.00018947650053354178,6.677707623479695e-05,0.0007566366955733099,"[9.55214432e-05 1.25876858e-04 2.08724608e-04 4.18521816e-04
 7.14894290e-04 7.56636696e-04]",30.75,24.5,24.70703341156117,1,91,[14.25 24.5  43.25 68.   88.45 91.  ]
2009354,2009-12-20,2009,12,1,0.0002055628417713333,0.00016046188631489098,0.00011800190510034204,8.512426989050051e-05,0.0004532328711930874,[0.00012227 0.00016046 0.00028082 0.00033655 0.00039489 0.00044156],36.875,33.5,20.678717924474913,10,72,[22.75 33.5  54.25 60.1  66.05 70.81]
2009361,2009-12-27,2009,12,1,0.00017025111884785084,0.00012757436050160647,0.0001155192003945806,6.677707623479695e-05,0.0005048674830098632,"[7.95807253e-05 1.27574361e-04 2.04549251e-04 3.65266127e-04
 4.15334401e-04 4.99761985e-04]",28.615384615384617,25.0,22.16328146653585,1,76,[ 7.5  25.   42.5  64.   68.7  75.62]
2010017,2010-01-17,2010,1,1,0.00039897624278235466,0.00011920211155692434,0.0005215972722139708,6.677707623479695e-05,0.0015256376578027826,"[9.80802702e-05 1.19202112e-04 3.83799660e-04 9.95630852e-04
 1.26063425e-03 1.47263698e-03]",41.666666666666664,22.0,40.55312017040804,1,117,[ 15.25  22.    61.75  95.   106.   114.8 ]
2010059,2010-02-28,2010,2,1,0.0005862641048675698,0.0005328505274418883,0.00045590934171935854,0.0001421082855563661,0.001445517653848912,[0.000199   0.00053285 0.00077873 0.00136961 0.00140756 0.00143793],69.18181818181819,78.0,31.188046025296828,29,115,[ 41.   78.   91.5 113.  114.  114.8]
2010073,2010-03-14,2010,3,2,0.00038768317546456225,0.0003368739275955696,0.0002597623235104592,6.860273023526938e-05,0.0011649610361989483,[0.00019566 0.00033687 0.00054238 0.00067212 0.00071314 0.00106639],56.869565217391305,61.0,28.115142675025698,2,107,[ 40.    61.    78.    86.6   88.8  103.04]
2010080,2010-03-21,2010,3,2,0.0004338110813735745,0.00012417935507239513,0.0005822629522750221,7.24051403982037e-05,0.0017936404932533908,[0.00012418 0.00012418 0.00039905 0.00109333 0.00144348 0.00172361],45.57142857142857,24.0,39.07449713727116,4,123,[ 24.    24.    60.    99.6  111.3  120.66]
2010094,2010-04-04,2010,4,2,0.0014964428324382923,0.0004594284584446902,0.0020398925174149587,8.984241139644306e-05,0.006372258716007311,[0.00012418 0.00045943 0.00210872 0.00483281 0.00569203 0.00623621],78.91666666666667,72.5,54.12248197889261,12,170,[ 24.    72.5  129.   158.7  165.6  169.12]
2010101,2010-04-11,2010,4,2,0.0007518490329473877,0.00040687911668479677,0.0006771522273963504,0.00028653877508056605,0.0022864483748491924,[0.00036303 0.00040688 0.00077851 0.00157685 0.00193165 0.00221549],79.85714285714286,68.0,26.04078433879425,55,132,[ 63.5   68.    88.5  115.8  123.9  130.38]
2010108,2010-04-18,2010,4,2,0.0037109455852275927,0.0029146566385597063,0.0028564865921190136,7.24051403982037e-05,0.010079323864733893,[0.00113561 0.00291466 0.00603761 0.00812306 0.00904848 0.00985937],132.3427561837456,141.0,43.282772776921014,4,187,[106.   141.   168.   179.   183.   186.18]
