end_date,filename,start_date
2023-12-02,L20233302023336.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-11-26
2021-07-24,L20211992021205.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-07-18
2019-12-07,L20193352019341.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-12-01
2021-09-04,L20212412021247.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-08-29
2011-02-12,M20110372011043.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-02-06
2009-03-21,M20090742009080.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-03-15
2008-08-16,M20082232008229.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-08-10
2023-12-23,L20233512023357.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-12-17
2008-12-20,M20083492008355.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-12-14
2022-01-08,L20220022022008.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-01-02
2011-09-24,M20112612011267.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2011-09-18
2021-08-14,L20212202021226.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-08-08
2018-03-31,L20180842018090.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-03-25
2009-05-30,M20091442009150.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-05-24
2022-04-02,L20220862022092.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-03-27
2023-04-08,L20230922023098.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-04-02
2016-08-13,L20162202016226.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-08-07
2024-09-07,L20242452024251.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-09-01
2020-11-14,L20203132020319.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2020-11-08
2019-08-24,L20192302019236.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-08-18
2021-08-21,L20212272021233.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-08-15
2018-09-29,L20182662018272.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-09-23
2022-06-25,L20221702022176.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-06-19
2008-09-06,M20082442008250.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-08-31
2018-08-11,L20182172018223.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2018-08-05
2009-04-25,M20091092009115.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-04-19
2024-10-19,L20242872024293.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2024-10-13
2017-10-14,L20172812017287.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-10-08
2019-03-09,L20190622019068.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-03-03
2017-08-19,L20172252017231.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-08-13
2017-05-06,L20171202017126.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-04-30
2020-01-04,L20193632020004.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2019-12-29
2008-01-19,M20080132008019.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-01-13
2016-11-05,L20163042016310.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2016-10-30
2009-01-31,M20090252009031.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-01-25
2008-10-18,M20082862008292.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2008-10-12
2023-06-10,L20231552023161.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-06-04
2022-02-19,L20220442022050.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-02-13
2021-07-03,L20211782021184.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2021-06-27
2009-10-24,M20092912009297.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-10-18
2017-01-28,L20170222017028.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2017-01-22
2010-01-23,M20100172010023.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2010-01-17
2023-10-07,L20232742023280.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2023-10-01
2009-09-19,M20092562009262.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2009-09-13
2022-08-27,L20222332022239.L3m_7D_CYAN_CI_cyano_CYAN_CONUS_300m_merged.tif,2022-08-21
