year,month,mean_ci_mean,mean_ci_std,median_ci_mean,std_ci_mean,min_ci_min,max_ci_max,mean_dn_mean,mean_dn_std,median_dn_mean,std_dn_mean,min_dn_min,max_dn_max
2016,10,0.0065535618884102935,0.0018338235599464298,0.00612564653126782,0.005510452578426327,6.677707623479695e-05,0.022638695600632062,136.58344259887454,23.753104149840464,156.4,61.070281215360964,1,217
2016,11,0.0021969586041636355,0.0027396727786928254,0.0020060597161694334,0.0023509636614900357,6.677707623479695e-05,0.01594297628170528,75.9884832759418,39.637584450815645,80.0,48.64181749726962,1,204
2016,12,0.000372666494080975,2.988164248095307e-05,0.0002408807949994456,0.0003794734051590087,6.677707623479695e-05,0.0072922810778448905,50.598251706994354,1.785528966542072,48.5,31.573149609105975,1,175
2017,1,0.00033580610059651963,0.00012686049837744875,0.0002205003116812683,0.0003414507878283406,6.677707623479695e-05,0.006372258716007311,45.465051377464626,12.930471673548842,44.4,27.5299139770232,1,170
2017,2,0.00041395876908830863,0.00016881351292223824,0.0002770606980963715,0.0004149920628979351,6.677707623479695e-05,0.005275885965362675,52.76472465411298,11.273942444094866,51.375,31.482071987779932,1,163
2017,3,0.0005394062685443075,0.0001231674905880769,0.00034977764800644024,0.0005262734142946874,6.677707623479695e-05,0.005876941937084154,61.249735965258026,9.587747366911822,60.0,35.340682478808034,1,167
2017,4,0.0028931868236450565,0.0033609320560394284,0.0027957640311176276,0.0022455019213212255,6.677707623479695e-05,0.02203623524596353,95.87783558576878,45.471735114534894,106.8,42.550061956445624,1,216
2017,5,0.0060511175115653265,0.002469288983333891,0.00474814481859034,0.0048864587022220225,6.677707623479695e-05,0.021449807549949466,135.3499274296935,31.644253847364478,140.0,55.18716562788988,1,215
2017,6,0.01215379044329169,0.0019166620192119434,0.013959688919531883,0.005602363643896577,6.677707623479695e-05,0.02661554723433558,181.3491244766596,7.452400108271059,198.5,41.32157907140088,1,223
2017,7,0.006559369715036523,0.002355701933439401,0.006012203708333659,0.005594512699029238,6.677707623479695e-05,0.03580876970056082,144.0221207766861,10.249606219102759,160.8,53.4096945306692,1,234
2017,8,0.009151286477337157,0.002249703732107906,0.004627861241764982,0.010471133386498977,6.677707623479695e-05,0.05977992970248461,150.33793893336895,8.337503007934444,156.75,57.6162195703518,1,253
2017,9,0.007907310579394424,0.0036589000450639687,0.004854652910596224,0.008577148735317496,6.677707623479695e-05,0.05977992970248461,143.11843696851872,22.106459034981178,153.25,56.50747765855724,1,253
2017,10,0.003442259244310353,0.0012254884748054405,0.0010857551202333251,0.004991944670314717,6.677707623479695e-05,0.03678776469917318,103.3717327865905,16.54907748976219,99.2,58.972144842148964,1,235
2017,11,0.001330544513550797,0.0005456535115879455,0.0003756568986141452,0.002296825743835882,6.677707623479695e-05,0.01874361693655935,71.58212304990714,9.556031153653912,64.16666666666667,50.103227058374294,1,210
2017,12,0.00034117514136613216,6.529042602626608e-05,0.00021630756994108657,0.00035777898278468187,6.677707623479695e-05,0.009550000624864566,47.09935696295386,5.937544882463678,44.0,30.793981265903813,1,185
2018,1,0.0005690503516495341,0.0003044411101662733,0.0003586870317850457,0.0005806994885225267,6.677707623479695e-05,0.005876941937084154,60.585142584100915,15.74069925561214,59.5,34.75753925666931,1,167
2018,2,0.0006203947352212286,0.00028620576034022523,0.0004046616807748396,0.000650073630430474,6.677707623479695e-05,0.0067254508006298515,64.79234697548235,16.59130109821056,64.33333333333333,34.86590254281588,1,172
2018,3,0.00034557676931330533,3.1704709739024374e-05,0.0002202599570416685,0.00036957450149504233,6.677707623479695e-05,0.005568309930770164,47.80887469023593,3.5124088238436784,45.0,30.960247370051896,1,165
2018,4,0.0004019637020506962,0.00014295395228669028,0.00022990357980205023,0.0005006356506629391,6.677707623479695e-05,0.010637985646376327,49.55568275746232,9.41048032641675,45.8,32.443374818555064,1,189
2018,5,0.006132477357617584,0.0041939303633140275,0.006967930651319736,0.003200975466187933,6.677707623479695e-05,0.020878985851911634,138.5832662995714,53.060444151874144,150.0,38.61344922825166,1,214
2018,6,0.007714425482047066,0.004454503069852413,0.006955880497288257,0.005081676732546879,6.677707623479695e-05,0.024546716116058534,148.18464353860588,35.86263532069085,159.375,50.41915939217834,1,220
2018,7,0.0035187252257691684,0.0013861766768259705,0.001751687993089462,0.004742942121212641,6.677707623479695e-05,0.03580876970056082,115.75400396447678,18.689416819251576,118.0,48.716601596664546,1,234
2018,8,0.0027532478691057365,0.0004935971523765252,0.0016289055191026445,0.0032517380036517713,6.677707623479695e-05,0.02325762693933648,116.0126835669171,4.808581732800564,119.0,43.65246532048845,1,218
2018,9,0.005554394896532531,0.0016647268372546944,0.0054313748305213905,0.003963640353091028,6.677707623479695e-05,0.03045828176842181,138.70238367223342,22.300500669226647,155.4,52.40909774629208,1,228
2018,10,0.0033873718642194106,0.002375150983007582,0.002286579105812483,0.0037062227686917157,6.677707623479695e-05,0.017286672330235658,96.1635290237405,35.25475222702176,92.875,60.56660116241591,1,207
